DELIVERY_ID,CONSUMER_ID,STORE_ID,ITEM_ID,ITEM_NAME,MENU_ID,MENU_NAME,CATEGORY_NAME,DESCRIPTION,UNIT_PRICE,ORIGINAL_ITEM_PRICE,SUBTOTAL,IS_GROUP_ORDER,CREATED_AT,ACTIVE_DATE,TIMEZONE,ORDER_ITEM_QUANTITY,ACTUAL_DELIVERY_TIME_LOCAL,DELIVERY_DURATION_MINUTES,LOCAL_HOUR,DAY_OF_WEEK,DAY_TYPE,ORDER_ITEM_ID
298153713353,1125900194785522,69763,11625880660,Poke Bowl - Regular (2 Proteins),31502749,Pokeworks (Mountain View) POS MENU 01-11-24-allday,Poke Your Way,"Mix up to 2 proteins with your choice of base, mix-ins, toppings, and flavor.",2070,1900,2070,FALSE,2025-06-04 19:27:46,2025-06-04,US/Pacific,1,2025-06-04 13:04:48,37,13,3,weekday,3000020793550499
259382460968,1125900194785522,431352,159643874,F2 Basil Popcorn Chicken 塔香鹹酥雞,1219163,Chick & Tea Sunnyvale,Fried Appetizers,"F2 our signature big chunks of meaty crispy popcorn chicken top it up with basil leaves, just dunno who can say no to that ,",1218,1218,1218,FALSE,2025-06-06 19:10:32,2025-06-06,US/Pacific,1,2025-06-06 12:37:19,27,12,5,weekday,3000020846844404
259382460968,1125900194785522,431352,159644087,F8 Mozzarella Sticks 起司條,1219163,Chick & Tea Sunnyvale,Fried Appetizers,,608,608,608,FALSE,2025-06-06 19:10:32,2025-06-06,US/Pacific,1,2025-06-06 12:37:19,27,12,5,weekday,3000020846844405
343721527551,1125900194785522,32010015,23182543267,Grilled Lemongrass Chicken & Rice,52868547,Roost & Roast,Rice Bowl,"Grilled boneless chicken thighs marinated in lemongrass and coconut milk served over rice with a side of pickled carrots and daikon, cucumbers, and topped with crispy shallots and a choice of sauce on the side.",1695,1495,1695,FALSE,2025-06-09 18:49:08,2025-06-09,US/Pacific,1,2025-06-09 12:01:18,12,12,1,weekday,3000020930491382
239726711039,1125900194785522,22929935,2274413986,House Combo Plate,12677318,Hummus Mediterranean Kitchen (All Day) (Mountain View),House Plates,"Lamb & beef gyros, chicken kebab, beef kebab and koftedes. Served with rice, salad and pita bread.",2360,2360,2360,FALSE,2025-06-10 19:06:39,2025-06-10,US/Pacific,1,2025-06-10 12:30:14,24,12,2,weekday,3000020954846531
292618318880,1125900194785522,22929935,2274413977,Lamb & Beef Gyros Plate,12677318,Hummus Mediterranean Kitchen (All Day) (Mountain View),House Plates,"Slow-cooked, thinly sliced, marinated lamb, and beef. Served with rice, salad and pita bread.",1990,1990,1990,FALSE,2025-06-11 20:47:23,2025-06-11,US/Pacific,1,2025-06-11 14:08:51,21,14,3,weekday,3000020981787929
356716743252,1125900194785522,24469896,9904691782,Yang's Chicken Rice Bowl,26491948,Yang's Braised Chicken Rice (Cupertino) (All Day) Otter (02/26/24)-allday,Third Party,Boneless chicken thigh braised in yang's secret huang men sauce with sliced shittake mushroom and gingers for extra flavor. three choices of spice level. our best seller.,1998,1599,1998,FALSE,2025-06-13 22:41:27,2025-06-13,US/Pacific,1,2025-06-13 16:10:38,29,16,5,weekday,3000021039799323
261597817913,1125900194785522,24964055,14272335753,84 Combination Fried Rice 什锦炒饭,36584156,Home Eat汉家宴  - Cupertino [POS]-allday,Fried Rice 家宴炒饭,"Chicken, Beef, Shrimp, Egg, Carrot and Green Peas.",1466,1466,1466,FALSE,2025-06-17 22:51:27,2025-06-17,US/Pacific,1,2025-06-17 16:17:49,26,16,2,weekday,3.00002E+15
257439416389,1125900194785522,24469896,9904691783,Yang's Curry Beef Brisket Rice Bowl,26491948,Yang's Braised Chicken Rice (Cupertino) (All Day) Otter (02/26/24)-allday,Third Party,,2198,1799,2198,FALSE,2025-06-18 21:25:14,2025-06-18,US/Pacific,1,2025-06-18 15:00:43,35,15,3,weekday,3000021168326629
201658045736,1125900194785522,2459604,1162455391,Hometown Style Pork Rouburger（腊汁肉夹馍）,2488878,Xian Kitchen (Barber Ct) (All Day) (Barber Ct) 10.22.21,Xi'an Style Foods,,858,858,1716,FALSE,2025-06-20 18:55:51,2025-06-20,US/Pacific,2,2025-06-20 12:44:08,49,12,5,weekday,3000021218059157
233458199413,1125900194785522,24469896,9904691783,Yang's Curry Beef Brisket Rice Bowl,26491948,Yang's Braised Chicken Rice (Cupertino) (All Day) Otter (02/26/24)-allday,Third Party,,2198,1799,2198,FALSE,2025-06-24 19:39:01,2025-06-24,US/Pacific,1,2025-06-24 13:16:05,37,13,2,weekday,3000021325528704
300746257124,1125900194785522,718429,147571493,P8. Winter Melon with Ham Soup,1382235,Nutrition Restaurant (All Day) (North Wolfe Road) 04.17.20 WF,Soup,,1899,1599,1899,FALSE,2025-06-25 21:26:05,2025-06-25,US/Pacific,1,2025-06-25 15:00:32,34,15,3,weekday,3000021352942223
289602940080,1125900194785522,24469896,9904691784,Yang's Braised Short Rib Bowl,26491948,Yang's Braised Chicken Rice (Cupertino) (All Day) Otter (02/26/24)-allday,Third Party,"Braised short rib with our signature sauce with a choice of rice, rice noodles or flat rice noodle.",2199,1699,2199,FALSE,2025-06-26 23:18:30,2025-06-26,US/Pacific,1,2025-06-26 16:47:48,29,16,4,weekday,3.00002E+15
308855939833,1125900194785522,27814141,11933929476,The Combo Shish Kabob Plate (Popular),32744154,The Kabob Society (All Day) (Stevens Creek) 02.10.24,The Famous Kabobs,"Customer's choice of two kabob meats, served on fresh cooked basmati rice, side of hummus, salad and pita bread.",2699,2699,2699,FALSE,2025-06-30 22:02:43,2025-06-30,US/Pacific,1,2025-06-30 15:35:10,33,15,1,weekday,3000021495500524
259259335318,1125900194785522,33980135,26652030132,Signature Avocado Smoothie with Chia Seed,72282347,Menu <---> 6847cd7e5f08a306f9e86d69,Avocado Series,"Avocado kale smoothie with yogurt, chia seeds and oat popping boba. A creamy avocado kale smoothie infused with yogurt, chia seeds, and playful oat popping boba, delivering a delightful mix of freshness, nutrition, and fun textures in every sip.",1174,999,1174,TRUE,2025-07-02 20:38:26,2025-07-02,US/Pacific,1,2025-07-02 14:55:22,77,14,3,weekday,3000021544715574
259259335318,1125900194785522,33980135,26652030135,Mango Avocado Twist,72282347,Menu <---> 6847cd7e5f08a306f9e86d69,Avocado Series," Avocado kale smoothie with mango and coconut pudding. A creamy avocado kale smoothie blended with tropical mango and velvety coconut pudding, offering a refreshing and indulgent fusion of vibrant and smooth flavors.",1049,1049,1049,TRUE,2025-07-02 20:38:26,2025-07-02,US/Pacific,1,2025-07-02 14:55:22,77,14,3,weekday,3000021544715577
259259335318,1125900194785522,33980135,26652030136,Rich Avocado Smoothie,72282347,Menu <---> 6847cd7e5f08a306f9e86d69,Avocado Series,"A creamy avocado kale smoothie combined with tangy yogurt and topped with oat popping boba, creating a refreshing and fun blend of smooth and textured flavors.",1324,1099,1324,TRUE,2025-07-02 20:38:26,2025-07-02,US/Pacific,1,2025-07-02 14:55:22,77,14,3,weekday,3000021544715575
259259335318,1125900194785522,33980135,26652030132,Signature Avocado Smoothie with Chia Seed,72282347,Menu <---> 6847cd7e5f08a306f9e86d69,Avocado Series,"Avocado kale smoothie with yogurt, chia seeds and oat popping boba. A creamy avocado kale smoothie infused with yogurt, chia seeds, and playful oat popping boba, delivering a delightful mix of freshness, nutrition, and fun textures in every sip.",1099,999,1099,TRUE,2025-07-02 20:38:26,2025-07-02,US/Pacific,1,2025-07-02 14:55:22,77,14,3,weekday,3000021544715578
